transaction_id,account_id,customer_id,txn_date,txn_ts,amount,txn_type,merchant_name,mcc_code
TXN-B2-001,A001,C001,2024-02-02,2024-02-02 09:00:00,-275.00,DEBIT,Whole Foods Market,5411
TXN-B2-002,A001,C001,2024-02-05,2024-02-05 17:30:00,4200.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B2-003,A002,C001,2024-02-08,2024-02-08 13:15:00,-450.00,DEBIT,Apple Store,5734
TXN-B2-004,A003,C002,2024-02-08,2024-02-08 09:00:00,-1875.00,DEBIT,MORTGAGE PAYMENT,6552
TXN-B2-005,A004,C002,2024-02-10,2024-02-10 17:30:00,5500.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B2-006,A005,C003,2024-02-12,2024-02-12 10:45:00,-88.00,DEBIT,Shell Oil,5541
TXN-B2-007,A005,C003,2024-02-14,2024-02-14 19:30:00,-520.00,DEBIT,United Airlines,4511
TXN-B2-008,A006,C003,2024-02-15,2024-02-15 10:00:00,3800.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B2-009,A007,C004,2024-02-18,2024-02-18 14:30:00,-2400.00,DEBIT,Jewelry Store,5944
TXN-B2-010,A007,C004,2024-02-20,2024-02-20 16:00:00,6200.00,CREDIT,PAYROLL DIRECT DEP,0000
TXN-B2-011,A008,C005,2024-02-22,2024-02-22 11:00:00,-95.00,DEBIT,CVS Pharmacy,5912
TXN-B2-012,A008,C005,2024-02-25,2024-02-25 09:45:00,-1200.00,DEBIT,Rent Payment,6552
TXN-B2-003,A002,C001,2024-02-08,2024-02-08 13:15:00,-450.00,DEBIT,Apple Store,5734
